method,fold,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro
Baseline,1,0.6,0.6466666666666666,0.6,0.5965079365079367,0.7484375
Baseline,2,0.5,0.5466666666666666,0.5,0.506984126984127,0.8703125
Baseline,3,0.55,0.7022222222222222,0.55,0.5395848595848596,0.846875
Baseline,4,0.55,0.5833333333333333,0.55,0.5557142857142858,0.790625
Baseline,5,0.65,0.6742857142857142,0.65,0.6232323232323232,0.878125
PCA,1,0.6,0.6,0.6,0.5752380952380953,0.8296875
PCA,2,0.5,0.54,0.5,0.5073015873015874,0.8703125
PCA,3,0.6,0.6888888888888889,0.6,0.5697435897435896,0.81875
PCA,4,0.55,0.5833333333333333,0.55,0.5557142857142858,0.85
PCA,5,0.55,0.619047619047619,0.55,0.5205194805194805,0.853125
FS,1,0.6,0.58,0.6,0.5644444444444444,0.8375
FS,2,0.7,0.77,0.7,0.7080952380952381,0.9171875
FS,3,0.8,0.8666666666666666,0.8,0.7961904761904763,0.9171875
FS,4,0.75,0.8242857142857142,0.75,0.7398989898989898,0.953125
FS,5,0.95,0.96,0.95,0.9492063492063492,0.9828125
