method,fold,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro
Baseline,1,0.95,0.9666666666666668,0.9333333333333332,0.9418181818181818,0.995625
Baseline,2,0.75,0.7766666666666666,0.7533333333333333,0.7453968253968254,0.971875
Baseline,3,0.65,0.6214285714285714,0.5380952380952382,0.5714285714285714,0.9
Baseline,4,0.3,0.2357142857142857,0.21000000000000002,0.22058823529411767,0.5825
Baseline,5,0.75,0.7466666666666667,0.7333333333333333,0.6912554112554112,0.9487500000000001
PCA,1,0.85,0.8699999999999999,0.8699999999999999,0.8484126984126984,0.968125
PCA,2,0.65,0.7333333333333333,0.6533333333333333,0.6566666666666666,0.8275
PCA,3,0.25,0.26666666666666666,0.19047619047619047,0.21333333333333332,0.739375
PCA,4,0.4,0.17714285714285713,0.22000000000000003,0.19272727272727272,0.726875
PCA,5,0.8,0.7833333333333333,0.8099999999999999,0.7877777777777778,0.911875
LDA,1,0.9,0.8833333333333332,0.925,0.8966666666666667,0.9906250000000001
LDA,2,1.0,1.0,1.0,1.0,1.0
LDA,3,0.7,0.5742857142857142,0.76,0.6444444444444444,0.95375
LDA,4,0.95,0.95,0.95,0.9428571428571428,0.99875
LDA,5,0.95,0.9777777777777779,0.9333333333333332,0.9482352941176471,0.99875
FS,1,0.65,0.5238095238095238,0.5866666666666667,0.5287878787878788,0.875625
FS,2,0.4,0.22214285714285714,0.36666666666666664,0.2765734265734266,0.8099999999999999
FS,3,0.25,0.1622222222222222,0.36666666666666664,0.19,0.7750000000000001
FS,4,0.5,0.2885714285714286,0.4,0.26714285714285724,0.79375
FS,5,0.55,0.5392857142857143,0.5533333333333333,0.445021645021645,0.79375
