method,fold,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro
Baseline,1,0.75,0.8,0.75,0.7244444444444443,0.903125
Baseline,2,0.7,0.7857142857142857,0.7,0.7138528138528139,0.9390625
Baseline,3,0.8,0.8666666666666666,0.8,0.7961904761904763,0.9578125
Baseline,4,0.85,0.8800000000000001,0.85,0.8380952380952381,0.959375
Baseline,5,0.9,0.9333333333333332,0.9,0.8933333333333333,0.996875
PCA,1,0.7,0.7666666666666666,0.7,0.6742857142857144,0.846875
PCA,2,0.6,0.7190476190476189,0.6,0.61004329004329,0.90625
PCA,3,0.7,0.7366666666666666,0.7,0.690952380952381,0.925
PCA,4,0.85,0.8699999999999999,0.85,0.8484126984126984,0.9015625
PCA,5,0.75,0.7666666666666666,0.75,0.7457142857142858,0.9203125
FS,1,0.6,0.58,0.6,0.5644444444444444,0.9015625
FS,2,0.85,0.86,0.85,0.8492063492063492,0.975
FS,3,0.8,0.8666666666666666,0.8,0.7961904761904763,0.9046875
FS,4,0.7,0.6799999999999999,0.7,0.6777777777777778,0.9515625
FS,5,0.9,0.9199999999999999,0.9,0.8984126984126984,0.99375
