method,fold,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro
Baseline,1,0.55,0.61,0.55,0.5611111111111111,0.884375
Baseline,2,0.6,0.6333333333333333,0.6,0.607936507936508,0.89375
Baseline,3,0.8,0.8433333333333334,0.8,0.7677777777777777,0.9875
Baseline,4,0.85,0.8699999999999999,0.85,0.8388888888888889,0.940625
Baseline,5,0.85,0.8833333333333332,0.85,0.8433333333333334,0.9875
PCA,1,0.8,0.8333333333333333,0.8,0.8028571428571428,0.871875
PCA,2,0.65,0.63,0.65,0.6277777777777778,0.90625
PCA,3,0.85,0.8933333333333333,0.85,0.8520634920634921,0.959375
PCA,4,0.65,0.6833333333333333,0.65,0.63,0.9125
PCA,5,0.85,0.8933333333333333,0.85,0.8425396825396826,0.946875
FS,1,0.65,0.6133333333333333,0.65,0.6044444444444445,0.9125
FS,2,0.75,0.8,0.75,0.7628571428571429,0.953125
FS,3,0.8,0.8666666666666666,0.8,0.7961904761904763,0.946875
FS,4,0.85,0.8699999999999999,0.85,0.8484126984126984,0.98125
FS,5,0.85,0.8699999999999999,0.85,0.8484126984126984,0.978125
